Mucl2,5947.352554,0.403749942,11894.30136,29459.57414,14.84644895,1.64E-134,3.03E-130,Up,0,0.170593504,0,0,0,1082.509119,1140.943044,998.3753797,1051.140843,564.3860363,"GeneID:20770,Genbank:NM_009267.2,MGI:MGI:98392",mucin-like 2,,"GO:0008150,GO:0003674,GO:0005575,GO:0005576",biological_process|molecular_function|cellular_component|extracellular region,,
Klk1b26,539.9926703,2.535681471,1077.449659,424.9152236,8.731031222,6.61E-133,6.12E-129,Up,0.045160941,0.046034311,0.308398697,0.172361812,0,51.94741279,56.76593041,49.05724145,43.28924258,35.26910961,"GeneID:16618,Genbank:NM_010644.3,MGI:MGI:891981",kallikrein 1-related petidase b26,,"GO:0004175,GO:0004252,GO:0005615,GO:0006508,GO:0008233,GO:0008236,GO:0016787,GO:0016811,GO:0030141,GO:0031638,GO:0002035,GO:0002526,GO:0032991,GO:0003073","endopeptidase activity|serine-type endopeptidase activity|extracellular space|proteolysis|peptidase activity|serine-type peptidase activity|hydrolase activity|hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides|secretory granule|zymogen activation|brain renin-angiotensin system|acute inflammatory response|protein-containing complex|regulation of systemic arterial blood pressure","mmu04614,mmu04961",Renin-angiotensin system|Endocrine and other factor-regulated calcium reabsorption
2310057J18Rik,172.7985057,0,345.5970114,Inf,Inf,4.32E-132,2.67E-128,Up,0,0,0,0,0,14.84927527,14.65373534,14.12988269,14.50409964,9.895997545,"GeneID:67719,Genbank:NM_026336.3,MGI:MGI:1914969",RIKEN cDNA 2310057J18 gene,,"GO:0008150,GO:0003674,GO:0005576,GO:0007275",biological_process|molecular_function|extracellular region|multicellular organism development,,
Klk1,144.3103753,0.77579746,287.8449532,371.0310592,8.535396151,4.42E-123,2.04E-119,Up,0,0,0.054450352,0.106511683,0.057736759,17.57728558,16.3557305,15.44753176,17.03292139,11.61659684,"GeneID:16612,Genbank:NM_010639.8,MGI:MGI:102850",kallikrein 1,,"GO:0004252,GO:0005615,GO:0006508,GO:0008233,GO:0008236,GO:0016787,GO:0016811,GO:0030141,GO:0031638,GO:0032991,GO:0002526,GO:0003073,GO:0004175","serine-type endopeptidase activity|extracellular space|proteolysis|peptidase activity|serine-type peptidase activity|hydrolase activity|hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides|secretory granule|zymogen activation|protein-containing complex|acute inflammatory response|regulation of systemic arterial blood pressure|endopeptidase activity","mmu04614,mmu04961",Renin-angiotensin system|Endocrine and other factor-regulated calcium reabsorption
Car6,498.9920093,1.933404234,996.0506144,515.1797006,9.008931939,1.56E-114,5.45E-111,Up,0,0.15913759,0.038075501,0.186201081,0,42.8152086,46.1621329,36.27701269,36.81461947,26.87468258,"GeneID:12353,Genbank:NM_009802.2,MGI:MGI:1333786",carbonic anhydrase 6,,"GO:0005576,GO:0005615,GO:0005737,GO:0005829,GO:0006730,GO:0008270,GO:0016829,GO:0046872,GO:0001580,GO:0003674,GO:0004089",extracellular region|extracellular space|cytoplasm|cytosol|one-carbon metabolic process|zinc ion binding|lyase activity|metal ion binding|detection of chemical stimulus involved in sensory perception of bitter taste|molecular_function|carbonate dehydratase activity,mmu00910,Nitrogen metabolism
Scgb1b27,600.8678474,0,1201.735695,Inf,Inf,1.77E-114,5.45E-111,Up,0,0,0,0,0,158.4657623,170.504702,166.4652433,170.5905739,97.01343517,"GeneID:11354,Genbank:NM_009596.1,MGI:MGI:87862","secretoglobin, family 1B, member 27",,"GO:0005576,GO:0005737,GO:0008150,GO:0005496",extracellular region|cytoplasm|biological_process|steroid binding,,
Crisp3,437.2337262,0,874.4674524,Inf,Inf,4.11E-104,1.09E-100,Up,0,0,0,0,0,35.8716801,38.2384945,37.03407293,30.90519766,21.63366025,"GeneID:11572,Genbank:NM_009639.2,MGI:MGI:102552",cysteine-rich secretory protein 3,,"GO:0005576,GO:0005615,GO:0031410",extracellular region|extracellular space|cytoplasmic vesicle,,
Klk1b9,153.5305659,0,307.0611318,Inf,Inf,3.11E-99,7.21E-96,Up,0,0,0,0,0,20.40776753,19.01724718,21.01581823,18.22663133,12.91115668,"GeneID:13648,Genbank:NM_010116.1,MGI:MGI:95293",kallikrein 1-related peptidase b9,,"GO:0004252,GO:0005615,GO:0006508,GO:0008233,GO:0008236,GO:0016787,GO:0016811,GO:0030141,GO:0031638,GO:0032991,GO:0002526,GO:0003073,GO:0004175","serine-type endopeptidase activity|extracellular space|proteolysis|peptidase activity|serine-type peptidase activity|hydrolase activity|hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides|secretory granule|zymogen activation|protein-containing complex|acute inflammatory response|regulation of systemic arterial blood pressure|endopeptidase activity","mmu04614,mmu04961",Renin-angiotensin system|Endocrine and other factor-regulated calcium reabsorption
Dcpp3,133.185411,0,266.370822,Inf,Inf,3.93E-98,8.09E-95,Up,0,0,0,0,0,10.4345825,10.57176801,10.76512978,11.68658813,7.022339375,"GeneID:620253,Genbank:XM_006524740.1,MGI:MGI:3646420",demilune cell and parotid protein 3,,"GO:0003674,GO:0005575,GO:0008150",molecular_function|cellular_component|biological_process,,
Egf,698.0928325,37.53420661,1358.651458,36.19768689,5.177825604,7.90E-97,1.46E-93,Up,0.282567971,0.310188921,0.498309254,0.404419665,0.528385223,16.07883634,15.72452231,15.39866752,14.1188276,10.36894468,"GeneID:13645,Genbank:XM_011240011.2,MGI:MGI:95290",epidermal growth factor,,"GO:0005615,GO:0005886,GO:0007173,GO:0008083,GO:0043235,GO:0008284,GO:0043388,GO:0043406,GO:0044332,GO:0045741,GO:0045840,GO:0045893,GO:0070371,GO:0046425,GO:0090263,GO:0048146,GO:0090279,GO:0048754,GO:0090370,GO:1900127,GO:2000008,GO:2000060,GO:0000186,GO:2000573,GO:0000187,GO:0001525,GO:0002092,GO:0004713,GO:0005154,GO:0005509,GO:0005515,GO:0010628,GO:0010800,GO:0016020,GO:0016021,GO:0017147,GO:0018108,GO:0021940,GO:0050708,GO:0030335,GO:0050730,GO:0042327,GO:0050731,GO:0042813,GO:0051048,GO:0051223,GO:0060059,GO:0060070,GO:0060749,GO:0061098,GO:0070062","extracellular space|plasma membrane|epidermal growth factor receptor signaling pathway|growth factor activity|receptor complex|positive regulation of cell proliferation|positive regulation of DNA binding|positive regulation of MAP kinase activity|Wnt signaling pathway involved in dorsal/ventral axis specification|positive regulation of epidermal growth factor-activated receptor activity|positive regulation of mitotic nuclear division|positive regulation of transcription, DNA-templated|ERK1 and ERK2 cascade|regulation of JAK-STAT cascade|positive regulation of canonical Wnt signaling pathway|positive regulation of fibroblast proliferation|regulation of calcium ion import|branching morphogenesis of an epithelial tube|negative regulation of cholesterol efflux|positive regulation of hyaluronan biosynthetic process|regulation of protein localization to cell surface|positive regulation of ubiquitin-dependent protein catabolic process|activation of MAPKK activity|positive regulation of DNA biosynthetic process|activation of MAPK activity|angiogenesis|positive regulation of receptor internalization|protein tyrosine kinase activity|epidermal growth factor receptor binding|calcium ion binding|protein binding|positive regulation of gene expression|positive regulation of peptidyl-threonine phosphorylation|membrane|integral component of membrane|Wnt-protein binding|peptidyl-tyrosine phosphorylation|positive regulation of cerebellar granule cell precursor proliferation|regulation of protein secretion|positive regulation of cell migration|regulation of peptidyl-tyrosine phosphorylation|positive regulation of phosphorylation|positive regulation of peptidyl-tyrosine phosphorylation|Wnt-activated receptor activity|negative regulation of secretion|regulation of protein transport|embryonic retina morphogenesis in camera-type eye|canonical Wnt signaling pathway|mammary gland alveolus development|positive regulation of protein tyrosine kinase activity|extracellular exosome","mmu04014,mmu04015,mmu04010,mmu04012,mmu04630,mmu04066,mmu04068,mmu04072,mmu04151,mmu04060,mmu04510,mmu04540,mmu04810,mmu05200,mmu05231,mmu05210,mmu05212,mmu05226,mmu05214,mmu05218,mmu05219,mmu05215,mmu05213,mmu05224,mmu05223,mmu05160,mmu05165,mmu01521",Ras signaling pathway|Rap1 signaling pathway|MAPK signaling pathway|ErbB signaling pathway|Jak-STAT signaling pathway|HIF-1 signaling pathway|FoxO signaling pathway|Phospholipase D signaling pathway|PI3K-Akt signaling pathway|Cytokine-cytokine receptor interaction|Focal adhesion|Gap junction|Regulation of actin cytoskeleton|Pathways in cancer|Choline metabolism in cancer|Colorectal cancer|Pancreatic cancer|Gastric cancer|Glioma|Melanoma|Bladder cancer|Prostate cancer|Endometrial cancer|Breast cancer|Non-small cell lung cancer|Hepatitis C|Human papillomavirus infection|EGFR tyrosine kinase inhibitor resistance
